,product,price
51,"Samsung Galaxy A21s SM-A217FZBGEGY Dual SIM Mobile - 6.5 Inch, 64 GB, 4 GB RAM, 4G LTE - Blue","2,785.00"
52,"Xiaomi POCO X3 Pro Dual SIM Mobile - 6.67 Inches, 256 GB, 8 GB RAM, 4G LTE - Metal Bronze","4,975.00"
53,"Apple iPhone 12 Pro Max 256GB 6 GB RAM, Pacific Blue","21,399.00"
54,"Samsung Galaxy M51 Dual SIM Mobile - 6.7 Inches, 128 GB, 8 GB RAM, 4G LTE - Black","5,544.00"
55,"Vivo Y12s Dual SIM Mobile Phone, 6.51 Inch, 3 GB RAM, 32 GB , 4G LTE - Blue","2,285.98"
56,"Xiaomi POCO X3 Pro Dual SIM Mobile - 6.67 Inches, 256 GB, 8 GB RAM, 4G LTE - Frost Blue","4,975.00"
57,"Xiaomi POCO X3 Pro Dual SIM Mobile - 6.67 Inches, 128 GB, 6 GB RAM, 4G LTE - Phantom Black","4,333.00"
58,"Xiaomi Redmi 9A Dual SIM Mobile Phone, 13 MP Camera, 6.53 Inch Touch Screen, 2 GB RAM, 32 GB, 4G LTE - Granite Grey","1,630.00"
59,"Samsung Galaxy A32 Dual SIM - 6.4 Inches, 6GB RAM, 128GB, 4G LTE - Awesome Black","3,869.00"
60,"Nokia 3.4 Dual SIM Mobile - 6.39 Inches, 64 GB, 4 GB RAM, 4G LTE - Blue","2,150.00"
61,"Samsung Galaxy A02s Dual SIM Mobile - 6.5 Inch, 64 GB, 4 GB RAM, 4G LTE - Blue","2,138.00"
62,"Itel it5081, Triple SIM - 2.4 Inch - Back Camera - 2G, Blue",239.00
63,"Xiaomi Mi 10T Dual SIM Mobile, 6.67 Inches, 128 GB, 8 GB RAM, 5G - Cosmic Black","6,699.00"
64,"Samsung A515F Galaxy A51, Dual SIM, 128 GB, 6 GB RAM, 4G LTE, 6.5 Inch - Prism Crush Black","3,999.00"
65,"Redmi Note 10 Dual SIM - 6.43 Inches, 128 GB, 6 GB RAM, 4G LTE - Lake Green","3,899.00"
66,"Xiaomi Redmi 9T Dual SIM Mobile - 6.53 Inch, 128 GB, 6 GB RAM, 4G LTE - Carbon Grey","3,099.00"
67,"OPPO A15 Dual SIM Mobile - 6.52 Inches, 32 GB, 3 GB RAM, 4G LTE - Dynamic Black","2,314.00"
68,"Realme C12 Dual SIM Mobile - 6.5 Inches, 64 GB, 3 GB RAM, 4G LTE - Coral Red","2,243.99"
69,"Realme C21 Dual SIM - 6.5 Inches, 64GB, 4GB RAM, 4G LTE - Blue","2,290.00"
70,"Redmi Note 10S Dual SIM - 6.43 Inches, 128 GB, 6 GB RAM, 4G LTE - Ocean Blue","3,790.00"
71,"Xiaomi Redmi Note 10 Pro Dual SIM Mobile - 6.67 Inches, 6G RAM, 64 GB, 4G LTE - Bronze","4,075.00"
72,"Samsung Galaxy A12 Dual SIM Mobile - 6.5 Inch, 64 GB, 4 GB RAM, 4G LTE - Black","2,599.00"
73,"Xiaomi Redmi Note 10 Pro Dual SIM Mobile - 6.67 Inches, 6G RAM, 128 GB, 4G LTE - Onyx Gray","4,599.00"
74,"Infinix Smart 5 Dual SIM Mobile - 6.6 inch, 32 GB, 2 GB RAM, 4G - Midnight Black","1,650.00"
75,"Redmi Note 10S Dual SIM - 6.43 Inches, 128 GB, 6 GB RAM, 4G LTE - Pebble White with Xiaomi Mi True Wireless EaRBuds Basic 2 - Black","4,999.00"
76,"Apple iPhone 12 Pro Max 512GB 6 GB RAM Dual Sim, Silver","33,200.00"
77,Nokia 210 (2019) Dual SIM Mobile Phone - Grey,619.00
78,"OnePlus 8 Pro Dual SIM - 128GB, 8GB RaM, 5G, Glacial Green","12,399.00"
79,"Nokia 130 Series 30 Grey 2017, Dual Sim",422.00
80,"Samsung Galaxy A32 Dual SIM - 6.4 Inches, 6GB RAM, 128GB, 4G LTE - Blue","3,850.00"
81,"Viwa F2601 Dual SIM Mobile, 2.4 Inches, 3G - Black",199.00
82,"OPPO A93 Dual SIM - 128GB, 8GB RAM, 4G LTE - Metallic White","4,495.00"
83,"Xiaomi Mi 11 Lite Dual SIM Mobile - 6.55 inches, 128 GB, 6 GB RAM, 4G LTE - Boba Black with Xiaomi Mi True Wireless Earbuds Basic 2","4,855.00"
84,"Realme C21 Dual SIM - 6.5 Inches, 64GB, 4GB RAM, 4G LTE - Black","2,290.00"
85,"Vivo Y20 Dual SIM Mobile Phone, 6.51 Inch, 4 GB RAM, 64 GB , 4G LTE - Nebula Blue","2,666.00"
86,"Samsung Galaxy A52 Dual SIM - 6.5 inches, 8 GB RAM, 256 GB - Black","5,899.00"
87,"Xiaomi Poco M3 Dual SIM Mobile - 6.53 inches, 64 GB, 4 GB RAM, 4G LTE - Cool Blue","2,990.00"
88,Nokia 106 Dual SIM- Dark Grey,317.99
89,"Apple Iphone 7 With Facetime - 32 GB, 4G LTE, Rose Gold, 2 GB Ram, Single Sim","13,300.00"
90,"Apple Iphone 7 With Facetime - 32 GB, 4G LTE, Rose Gold, 2 GB Ram, Single Sim","13,300.00"
91,"Apple iPhone 7 with FaceTime - 128GB, 4G LTE, Red","5,950.00"
92,"Apple Iphone 8 Plus With Facetime - 64 GB, 4G LTE, Space Grey, 3 GB Ram, Single Sim","9,499.00"
93,"Xiaomi Redmi 9C Dual SIM Mobile - 6.53 Inch, 64 GB, 3 GB RAM, 4G LTE - SUNRISE ORANGE","2,020.00"
94,"Xiaomi Redmi 9C Dual SIM Mobile - 6.53 Inch, 32 GB, 2 GB RAM, 4G LTE - TWILIGHT BLUE","1,999.00"
95,"Nokia 2.4 Dual Sim Mobile, 6.5 Inches, 32 GB, 2 GB RAM, 4G LTE - Purple","1,689.00"
96,"Infinix HOT 10 Dual SIM Mobile - 6.78 Inches, 128 GB, 4 GB RAM, 4G - Obsidian Black","2,299.00"
97,"Apple iPhone 11 with FaceTime MHDJ3J/A - 128GB, 4GB RAM, 4G LTE, White, Single SIM & E-SIM","12,599.00"
98,"Xiaomi Redmi 9T Dual SIM Mobile - 6.53 Inch, 128 GB, 4 GB RAM, 4G LTE - Carbon Grey","2,910.00"
99,"Realme 7 Pro Dual Sim Mobile, 6.4 Inches, 128 GB, 8 GB RAM, 4G LTE - Mirror Blue","4,989.00"
100,"Huawei Y7p Dual SIM - 64 GB, 4 GB RAM, 4G LTE - Aurora Blue","2,599.00"
101,Nokia x2-02 Black,"1,199.00"
102,"Apple iPhone 12 Pro Max 256GB 6 GB RAM, Silver","22,399.00"
103,"Apple iPhone 11 with FaceTime MHDH3J/A - 128GB, 4GB RAM, 4G LTE, Black, Single SIM & E-SIM","12,497.96"
104,"Nokia 105 (2017) - 4Mb, Dual Sim, Black",315.00
105,"Xiaomi Redmi Note 9 Dual SIM Mobile - 6.53 Inch, 64GB, 3 GB RAM, 4G LTE - Midnight Grey","2,666.99"
106,"iTel A36 Dual SIM Mobile - 5.5 Inch, 16 GB, 1 GB RAM, Android, 3G - Gradation Blue",919.00
107,"Oppo A54 Dual SIM Mobile Phone - 6.51 Inch, 128 GB, 4 GB RAM, 4G LTE - Crystal Black","3,494.99"
108,"Xiaomi POCO X3 Dual SIM Mobile, 6.67 Inches, 128 GB, 6 GB RAM, 4G LTE - Shadow Gray","4,099.00"
109,"Nokia 8000 4G Dual Sim Mobile, 2.8 Inches, 4 GB, 512 MB RAM, 4G - Black","1,499.00"
110,"Xiaomi Redmi Note 10S Dual SIM Mobile - 6.43 Inches, 8G RAM, 128 GB, 4G LTE - Onyx Gray","4,090.00"
111,"Infinix HOT 10 Dual SIM Mobile - 6.78 Inches, 128 GB, 4 GB RAM, 4G - Ocean Wave ","2,355.00"
112,"Huawei Nova 7i Dual SIM - 128 GB, 8 GB RAM, 4G LTE - Crush Green","3,975.00"
113,Sico More 3 - Dual Sim - 4.0 inch - 4G - 512M Ram - 3G - Black,459.00
114,"Realme 7 Dual SIM - 128GB, 8GB RAM, 4G LTE - Black","4,290.00"
115,Galaxy A51 - 6.5-inch 128GB/8GB Dual SIM 4G Mobile Phone - Prism Crush Black,"4,499.00"
116,"Xiaomi Redmi Note 9 Dual SIM - 6.53 inches, 4GB RAM - 128GB, 4G LTE - Black","3,088.00"
117,"Xiaomi Redmi 9 Dual SIM Mobile - 6.53 Inch, 64 GB, 4 GB RAM, 4G LTE - Ocean Green","2,750.00"
118,"Samsung Galaxy A32 Dual SIM - 6.4 Inches, 6GB RAM, 128GB, 4G LTE - Violet","3,998.99"
119,"Xiaomi Redmi 9T Dual SIM Mobile - 6.53 Inch, 128 GB, 6 GB RAM, 4G LTE - Ocean Green","3,099.00"
120,"Nokia 105 -2017, 4Mb, Dual Sim, 2G, White, 105-2017",312.00
121,"Nokia 2.4 Dual Sim Mobile, 6.5 Inches, 32 GB, 2 GB RAM, 4G LTE - Gray","1,689.00"
122,"Xiaomi Redmi Note 9 Dual SIM Mobile - 6.53 Inch, 64GB, 3 GB RAM, 4G LTE - Polar White","2,675.00"
123,"Huawei Nova 7i Dual SIM - 128 GB, 8 GB RAM, 4G LTE - Midnight Black","4,125.00"
124,Samsung Galaxy A51 - 6.5-inch 128GB/8GB Dual SIM 4G Mobile Phone - Prism Crush Silver,"4,199.00"
125,"Apple MGD13J/A iPhone 12 Pro Max 256GB 6 GB RAM, Gold","21,443.98"
126,"Realme C25 Dual SIM - 6.5 inches, 64 GB, 4 GB RAM, 4G LTE - Grey","2,770.00"
127,"Apple iPhone 6S Plus with FaceTime - 64GB, 4G LTE, Rose Gold","6,298.00"
128,"Realme C25 Dual SIM - 6.5 inches, 64 GB, 4 GB RAM, 4G LTE - Blue","2,772.00"
129,Samsung Galaxy A51 - 8GB RAM - 128GB - Crush Blue,"4,199.00"
130,"Xiaomi Redmi Note 8 Dual SIM - 64GB, 4GB RAM, 4G LTE, Space Black","2,799.00"
131,"Samsung Galaxy A12 Dual SIM Mobile - 6.5 Inch, 128 GB, 4 GB RAM, 4G LTE - White","2,828.00"
132,"Infinix Note 10 Dual SIM Mobile Phone - 6.95 inches, 6 GB RAM, 128 GB, 4G LTE - Emerald Green","3,099.00"
133,"Realme C11 Dual SIM - 32GB, 3GB RAM, 4G LTE - Mint Green","2,049.00"
134,"Apple iPhone 12 128GB 4 GB RAM, Black","16,095.00"
135,"Oppo A54 Dual SIM Mobile Phone - 6.51 Inch, 128 GB, 4 GB RAM, 4G LTE - Starry Blue","3,499.00"
136,"Samsung Galaxy A02 Dual Sim Mobile, 6.5 Inches, 32 GB, 3 GB RAM, 4G LTE - Red","1,730.00"
137,"Infinix Hot 10 Play Dual SIM Mobile - 6.82 Inches, 64 GB, 4 GB RAM, 4G LTE - Obsidian Black","2,061.20"
138,"Nokia 5310 TA-1212 Dual SIM Mobile - 2.4 Inch, 16 MB, 8 MB RAM, 4G LTE - Black and Red",749.00
139,"Huawei Nova 7i Dual SIM - 128 GB, 8 GB RAM, 4G LTE - Sakura Pink","3,939.00"
140,mini mobile phone BM10,268.97
141,"Huawei Y9a Dual SIM - 128GB, 8GB RAM, 4G LTE - Midnight Black","4,035.00"
142,"Realme 7 Dual SIM - 128GB, 8GB RAM, 4G LTE - White","4,345.00"
143,"Apple iPhone 12 Pro Max 128GB 6 GB RAM, Pacific Blue (International Version)","21,700.00"
144,"Apple iPhone 7 with FaceTime - 128GB, 4G LTE, Black","6,499.00"
145,Red Magic 6 Pro 256GB 16GB RAM Dual SIM 5G Moon Silver,"14,998.99"
146,"Samsung Galaxy A21s Dual SIM Mobile, 6.5 Inches, 128 GB, 4 GB RAM, 4G LTE - Black","3,299.00"
147,"Infinix Smart HD 2021 X612B Dual Sim 32GB, 2GB RAM, 4G LTE, Obsidian Black","1,550.00"
148,"Redmi Note 10 Dual SIM - 6.43 Inches, 128 GB, 4 GB RAM, 4G LTE - Lake Green","3,444.00"
149,"Infinix Smart 5 Dual SIM Mobile - 6.6 inch, 64 GB, 3 GB RAM, 4G - Midnight Black","1,785.00"
150,Nokia 105 with Storage Capacity Less than 512 MB - Black,319.60
151,"Oppo A54 Dual SIM Mobile Phone - 6.51 Inch, 64 GB, 4 GB RAM, 4G LTE - Crystal Black","3,096.00"
152,"Realme C15 Dual SIM - 64GB, 4GB RAM, 4G LTE - Seagull Silver","2,500.00"
153,"Xiaomi Mi 11 Lite Dual SIM Mobile - 6.55 inches, 128 GB, 8 GB RAM, 4G LTE - Peach Pink","5,799.00"
154,"Realme C12 Dual SIM Mobile - 6.5 Inches, 64 GB, 3 GB RAM, 4G LTE - Marine Blue","2,296.99"
155,"Apple iPhone 12 Pro Max 256GB 6 GB RAM Dual Sim, Pacific Blue","24,900.00"
156,Nokia 110 - 2019 - 1.77inch - 2G - Blue,399.00
157,"Xiaomi Redmi 9C Dual SIM Mobile - 6.53 Inch, 32 GB, 2 GB RAM, 4G LTE - SUNRISE ORANGE","2,200.00"
158,"iTel P36 Dual SIM Mobile - 6.5 Inch, 16 GB, 1 GB RAM, Android, 3G - Gradation Purple","1,175.00"
159,"Huawei Nova 7SE Dual SIM - 128GB, 8GB RAM, 4G LTE - Midsummer Purple","4,475.00"
160,"OPPO A15 Dual SIM Mobile - 6.52 Inches, 32 GB, 2 GB RAM, 4G LTE - Dynamic Black","2,300.00"
161,"Samsung Galaxy A31 Dual SIM - 6.4 Inch, 128 GB, 4 GB RAM, 4G LTE - Prism crush Blue","3,399.00"
162,"Xiaomi Redmi 9C Dual SIM Mobile - 6.53 Inch, 64 GB, 3 GB RAM, 4G LTE - Midnight Gray","2,025.00"
163,"Apple iPhone 12 Pro Max 128GB 6 GB RAM, Gold","21,175.00"
164,"Infinix Hot 10 Play Dual SIM Mobile - 6.82 Inches, 64 GB, 4 GB RAM, 4G LTE - Morandi Green","2,005.00"
165,"Infinix Hot 10 Play Dual SIM Mobile - 6.82 Inches, 64 GB, 4 GB RAM, 4G LTE - Morandi Green with Infinix Headphones","4,350.00"
166,"Samsung A515F Galaxy A51, Dual SIM, 128 GB, 6 GB RAM, 4G LTE, 6.5 Inch - White","4,250.00"
167,"Darago F18 Dual SIM Mobile Phone - 2G, 2.8 Inch, Golden",0.00
168,"Apple iPhone 12 Pro 128GB 6 GB RAM, Gold",0.00
169,"Samsung Galaxy A02s Dual SIM Mobile - 6.5 Inch, 64 GB, 4 GB RAM, 4G LTE - Red","2,175.00"
170,"Apple iPhone 12 Pro Max 256GB 6 GB RAM, Gold","21,399.00"
171,"Huawei Y6p Dual SIM - 64 GB, 3 GB RAM, 4G LTE - Phantom Purple","2,999.00"
172,"Apple iPhone 12 Pro 128GB 6 GB RAM, Pacific Blue","19,248.00"
173,samsung Galaxy A01 Core 1GB 16GB - Blue,"1,399.00"
174,"Nokia 3310 2017 Dual SIM - 16MB, 2G, 2 MP, Dark Blue",925.00
175,"Apple iPhone 12 128GB 4 GB RAM, Blue","16,500.00"
176,"Samsung Galaxy S20 Plus Dual SIM - 128GB, 12GB RAM, 5G - Grey","13,800.00"
177,"Samsung Galaxy A10s Dual SIM - 32GB, 2GB RAM, 4G LTE, Black","1,999.00"
178,"Apple iPhone 12 Pro 256GB 6 GB RAM, Pacific Blue","20,999.00"
179,Long-CZ J9 dialer mini flip card smallest mini phone,600.00
